,frame,image_id,colony_area,cell_count,cell_area,cell_length,medium
0,0,975,1678.8025942884851,5,1440.5,134.03648987245964,Acetate-MOPS
1,1,975,1867.555643542088,5,1575.5,147.73543275866436,Acetate-MOPS
2,2,975,2075.697140984237,5,1750.5,162.91015344259247,Acetate-MOPS
3,3,975,2250.996890667244,5,1928.0,177.64323467924342,Acetate-MOPS
4,4,975,2488.6188007061137,6,2141.0,199.80106794590293,Acetate-MOPS
5,5,975,2791.582578923088,7,2378.0,225.9357441380103,Acetate-MOPS
6,6,975,3110.1407163346885,7,2644.5,246.1399483598239,Acetate-MOPS
7,7,975,3484.9472715611337,7,2861.0,264.92632254396005,Acetate-MOPS
8,8,975,3889.8389075426394,7,3162.0,289.3404776628909,Acetate-MOPS
9,9,975,4527.997961743269,9,3603.5,333.3622371439955,Acetate-MOPS
10,10,975,5147.812205963419,13,4057.5,383.8104524561278,Acetate-MOPS
11,11,975,5908.406283229007,15,4621.0,437.51712795539015,Acetate-MOPS
12,12,975,6447.804978814325,15,5074.5,476.4048001579166,Acetate-MOPS
13,13,975,6931.584765206557,16,5549.5,525.5837664694706,Acetate-MOPS
14,14,975,7590.576026378199,17,6127.0,584.0250907404453,Acetate-MOPS
15,15,975,8760.567436429323,20,6806.0,650.8990985383565,Acetate-MOPS
16,16,975,9802.186077817343,21,7621.0,724.0786239200506,Acetate-MOPS
17,17,975,11168.622306564825,26,8601.0,821.9334189617248,Acetate-MOPS
18,18,975,12602.99862507556,29,9588.0,927.5042659660933,Acetate-MOPS
19,19,975,13884.403550651155,32,10729.5,1036.0865051280844,Acetate-MOPS
20,20,975,15482.105152099744,33,11945.5,1141.422105849777,Acetate-MOPS
21,21,975,17489.089165658806,39,13401.0,1287.8273717082416,Acetate-MOPS
22,22,975,19627.19843551872,44,15096.5,1454.7106021849045,Acetate-MOPS
23,23,975,22294.69839976955,51,17068.5,1646.6495786293704,Acetate-MOPS
24,24,975,24954.77280947467,54,19134.0,1842.4065988966795,Acetate-MOPS
25,25,975,27993.15933278855,60,21392.5,2053.630995041904,Acetate-MOPS
26,26,975,31306.766341204813,72,24179.5,2344.7282809433395,Acetate-MOPS
27,27,975,34734.13857982948,79,27255.5,2646.581037529576,Acetate-MOPS
28,28,975,38671.78495820519,88,30712.5,2977.0013866001855,Acetate-MOPS
29,29,975,44549.87127779517,99,34842.5,3377.195947577671,Acetate-MOPS
30,30,975,50354.29635268008,109,39420.0,3805.4539004401595,Acetate-MOPS
31,31,975,57596.46025015946,127,45041.0,4320.065428847885,Acetate-MOPS
32,32,975,65283.09458727934,149,51242.5,4938.269638315969,Acetate-MOPS
33,33,975,73655.21848310242,164,58964.5,5620.193196167768,Acetate-MOPS
34,34,975,82670.09082921525,183,66546.5,6373.023221933908,Acetate-MOPS
35,35,975,93794.5380118152,209,75278.0,7228.023777581193,Acetate-MOPS
36,36,975,108074.9478618585,240,86515.5,8291.859664816428,Acetate-MOPS
37,37,975,124369.34673278977,282,99750.5,9493.590432183622,Acetate-MOPS
38,38,975,138737.19941956265,317,112611.0,10786.67277323432,Acetate-MOPS
39,39,975,157267.82370493552,355,125993.5,12241.15519557588,Acetate-MOPS
40,0,976,1130.0343542969786,2,967.0,82.37297913944656,Acetate-MOPS
41,1,976,1381.4967717186082,4,1102.5,100.93737821764637,Acetate-MOPS
42,2,976,1405.099169507157,4,1224.5,113.13427717325837,Acetate-MOPS
43,3,976,1533.8949140328914,4,1352.5,126.43829253768699,Acetate-MOPS
44,4,976,1708.1392656955868,4,1491.0,138.1148026117565,Acetate-MOPS
45,5,976,1920.3856541663408,4,1660.5,152.615849385878,Acetate-MOPS
46,6,976,2110.485362489242,4,1803.0,165.36450209041863,Acetate-MOPS
47,7,976,2400.7435634885915,5,2024.5,186.80309232862592,Acetate-MOPS
48,8,976,2828.1481899067294,8,2336.5,225.64844683949622,Acetate-MOPS
49,9,976,3131.395585595863,8,2595.5,247.55167736442158,Acetate-MOPS
50,10,976,3450.2106327421498,8,2880.5,271.9120726117758,Acetate-MOPS
51,11,976,3836.619554648176,8,3180.5,300.6680866085663,Acetate-MOPS
52,12,976,4216.865174040897,8,3515.0,329.83829905422414,Acetate-MOPS
53,13,976,5186.217263757484,12,4070.0,383.8461188038788,Acetate-MOPS
54,14,976,6007.501675920561,16,4603.5,450.7537052069923,Acetate-MOPS
55,15,976,6760.846612309571,16,5145.5,497.23675220799873,Acetate-MOPS
56,16,976,7332.219084639801,16,5701.0,545.3300860274514,Acetate-MOPS
57,17,976,8041.07706781337,16,6277.0,602.5444012620276,Acetate-MOPS
58,18,976,9279.022784633797,18,7065.5,672.6584061227602,Acetate-MOPS
59,19,976,10434.72165796801,23,7910.5,762.7675228206176,Acetate-MOPS
60,20,976,11809.08812568558,27,8755.0,859.6757320900115,Acetate-MOPS
61,21,976,13545.153362694313,32,10028.0,983.880457018476,Acetate-MOPS
62,22,976,14597.030902349625,32,11072.5,1085.2751665785597,Acetate-MOPS
63,23,976,15936.0566477275,32,12312.5,1204.2848086193621,Acetate-MOPS
64,24,976,18290.642989869928,36,13879.5,1348.874670552048,Acetate-MOPS
65,25,976,21671.20083722821,45,15799.5,1531.7510077923403,Acetate-MOPS
66,26,976,24533.468231573934,57,18145.5,1779.5899221633106,Acetate-MOPS
67,27,976,27286.07262883731,62,20253.5,1996.1087412769289,Acetate-MOPS
68,28,976,29972.30283412908,65,22542.5,2239.47975163646,Acetate-MOPS
69,29,976,33348.64369613875,67,25391.0,2494.773694677533,Acetate-MOPS
70,30,976,38301.59178319911,76,28851.5,2818.161047683348,Acetate-MOPS
71,31,976,44704.58887138701,99,33293.0,3256.6766805672346,Acetate-MOPS
72,32,976,51543.52874243894,117,37906.5,3725.2681453624937,Acetate-MOPS
73,33,976,57890.4137140775,128,42855.5,4221.018027573461,Acetate-MOPS
74,34,976,63557.13586855837,133,47994.5,4735.34582808342,Acetate-MOPS
75,35,976,72238.0232051888,147,54138.5,5339.264132753097,Acetate-MOPS
76,36,976,83882.2999310317,184,62436.0,6166.951705022623,Acetate-MOPS
77,37,976,94840.19417073118,215,71290.0,7044.557529034386,Acetate-MOPS
78,38,976,108527.35817354744,242,81584.5,8076.78709446952,Acetate-MOPS
79,39,976,121085.76144451086,260,92911.0,9150.400340712411,Acetate-MOPS
80,0,977,1781.2950473134406,4,1566.5,138.28809901686083,Acetate-MOPS
81,1,977,1991.2910430734048,4,1734.5,153.71276928090225,Acetate-MOPS
82,2,977,2196.445669892244,4,1921.5,168.28056907513272,Acetate-MOPS
83,3,977,2537.752808263991,6,2208.5,198.77934366559444,Acetate-MOPS
84,4,977,2859.3979539447464,6,2422.0,218.37858757636624,Acetate-MOPS
85,5,977,3181.6442753635347,8,2717.5,252.61476760933573,Acetate-MOPS
86,6,977,3569.330521001946,8,3030.0,280.4103577230456,Acetate-MOPS
87,7,977,4054.1813974515535,8,3362.5,307.8568932324485,Acetate-MOPS
88,8,977,4532.957866598386,10,3774.0,347.9588991848629,Acetate-MOPS
89,9,977,5011.786711097229,12,4198.0,392.5156801975935,Acetate-MOPS
90,10,977,5873.094724813942,15,4741.0,448.38341184198003,Acetate-MOPS
91,11,977,6458.493360730819,16,5273.0,495.0543613262918,Acetate-MOPS
92,12,977,7117.596484102774,16,5861.0,547.123264930434,Acetate-MOPS
93,13,977,7670.405469006393,16,6403.0,600.0708749018382,Acetate-MOPS
94,14,977,9319.871569457464,21,7317.0,687.5910593314446,Acetate-MOPS
95,15,977,10286.974121624138,22,8154.0,762.721265672462,Acetate-MOPS
96,16,977,12062.97911695158,27,9266.5,871.8829315402481,Acetate-MOPS
97,17,977,13429.217434364837,32,10415.5,985.9848265041791,Acetate-MOPS
98,18,977,14730.089373501483,32,11569.5,1090.830986992897,Acetate-MOPS
99,19,977,16633.09849178698,33,12868.0,1209.8317394715843,Acetate-MOPS
100,20,977,19063.38603984448,38,14491.5,1357.3062817879113,Acetate-MOPS
101,21,977,21330.053702168632,46,16383.0,1549.6467810295042,Acetate-MOPS
102,22,977,24314.51060764538,55,18477.5,1758.8337203089493,Acetate-MOPS
103,23,977,27250.46844489989,61,20763.5,1972.1866817664286,Acetate-MOPS
104,24,977,29279.6361673153,62,23047.0,2188.856958417464,Acetate-MOPS
105,25,977,33035.35212640464,70,25771.0,2467.50150772461,Acetate-MOPS
106,26,977,37904.54141087434,82,29306.0,2812.5169484928265,Acetate-MOPS
107,27,977,44373.32605359238,96,33431.5,3204.4162500385073,Acetate-MOPS
108,28,977,50552.15906795557,114,38162.5,3674.014540856092,Acetate-MOPS
109,29,977,56487.148898373125,121,43218.5,4142.213171658237,Acetate-MOPS
110,30,977,62839.38716447353,137,49072.5,4704.938836832829,Acetate-MOPS
111,31,977,70133.43170599476,151,55719.0,5316.434750283638,Acetate-MOPS
112,32,977,81311.82162693469,192,64952.0,6232.189223667152,Acetate-MOPS
113,33,977,90471.69108303032,214,73693.0,7078.397004315173,Acetate-MOPS
114,34,977,101318.328170215,239,82155.5,8001.829245080541,Acetate-MOPS
115,35,977,115401.37617196422,262,91025.0,9027.052150354913,Acetate-MOPS
