,0
h_c,0.0
h_e,0.0
atp_c,0.0
glc_D_c,0.0
adp_c,0.0
g6p_c,0.0
f6p_c,0.0
fdp_c,0.0
h2o_c,0.0
pi_c,0.0
dhap_c,0.0
g3p_c,0.0
nad_c,0.0
13dpg_c,0.0
nadh_c,0.0
nadph_c,0.0
nadp_c,0.0
3pg_c,0.0
2pg_c,0.0
pep_c,0.0
pyr_c,0.0
lac_L_c,0.0
amp_c,0.0
mal_L_c,0.0
co2_c,0.0
accoa_c,0.0
actp_c,0.0
coa_c,0.0
ac_c,0.0
q8_c,0.0
q8h2_c,0.0
for_c,0.0
oaa_c,0.0
cit_c,0.0
acn_c,0.0
icit_c,0.0
akg_c,0.0
succoa_c,0.0
suc_c,0.0
fum_c,0.0
glx_c,0.0
gtp_c,0.0
gdp_c,0.0
hco3_c,0.0
6pgl_c,0.0
6pgc_c,0.0
ru5p_D_c,0.0
r5p_c,0.0
xu5p_D_c,0.0
s7p_c,0.0
e4p_c,0.0
o2_c,0.0
trdox_c,0.0
trdrd_c,0.0
h2s_c,0.0
so3_c,0.0
glyc3p_c,0.0
pro_L_c,0.0
1pyr5c_c,0.0
no3_c,0.0
no2_c,0.0
malcoa_c,0.0
ACP_c,0.0
acACP_c,0.0
malACP_c,0.0
actACP_c,0.0
C140ACP_c,0.0
C150ACP_c,0.0
C160ACP_c,0.0
C180ACP_c,0.0
C161ACP_c,0.0
C181ACP_c,0.0
AGL3P_c,0.0
pa_EC_c,0.0
cdpdag_EC_c,0.0
cmp_c,0.0
pgp_EC_c,0.0
ser_L_c,0.0
ps_EC_c,0.0
pg_EC_c,0.0
prpp_c,0.0
gln_L_c,0.0
glu_L_c,0.0
ppi_c,0.0
pram_c,0.0
gly_c,0.0
gar_c,0.0
10fthf_c,0.0
fgam_c,0.0
thf_c,0.0
fpram_c,0.0
air_c,0.0
5aizc_c,0.0
asp_L_c,0.0
25aics_c,0.0
aicar_c,0.0
fprica_c,0.0
imp_c,0.0
dcamp_c,0.0
xmp_c,0.0
gmp_c,0.0
dadp_c,0.0
datp_c,0.0
dgdp_c,0.0
dgtp_c,0.0
5caiz_c,0.0
cdp_c,0.0
dcdp_c,0.0
udp_c,0.0
dudp_c,0.0
dtdp_c,0.0
dttp_c,0.0
dtmp_c,0.0
dump_c,0.0
mlthf_c,0.0
dhf_c,0.0
dutp_c,0.0
dctp_c,0.0
nh3_c,0.0
ctp_c,0.0
orot_c,0.0
orot5p_c,0.0
utp_c,0.0
ump_c,0.0
dhor_S_c,0.0
cbasp_c,0.0
cbp_c,0.0
ins_c,0.0
hxan_c,0.0
adn_c,0.0
ade_c,0.0
r1p_c,0.0
gua_c,0.0
dgmp_c,0.0
dgsn_c,0.0
gsn_c,0.0
xtsn_c,0.0
xan_c,0.0
cytd_c,0.0
uri_c,0.0
ura_c,0.0
thymd_c,0.0
val_L_c,0.0
3mob_c,0.0
ala_L_c,0.0
ala_D_c,0.0
alac_S_c,0.0
23dhmb_c,0.0
4pasp_c,0.0
aspsa_c,0.0
23dhdp_c,0.0
thdp_c,0.0
sl2a6o_c,0.0
sl26da_c,0.0
26dap_LL_c,0.0
